case_id,root_workflow_id,workflow_name,start_time,end_time,throughput_sec,total_tokens,activity_count,error_count,pii_in_case,category,currency,document_type,invoice_number,net_amount,total_amount,vendor
735,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:07:42.857,2026-06-08 19:08:05.598,22.741,3240,28,0,True,,,,,,,
737,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:08:08.873,2026-06-08 19:08:44.329,35.456,3221,27,0,True,,,,,,,
739,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:08:47.936,2026-06-08 19:09:11.714,23.778,3376,28,0,True,,,,,,,
741,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:09:21.411,2026-06-08 19:09:46.298,24.887,3259,27,0,True,,,,,,,
743,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:09:47.571,2026-06-08 19:10:23.976,36.405,3328,28,0,True,,,,,,,
745,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:10:26.702,2026-06-08 19:10:49.160,22.458,3378,28,0,True,,,,,,,
747,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:10:50.182,2026-06-08 19:11:15.519,25.337,3436,28,0,True,,,,,,,
749,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:11:18.488,2026-06-08 19:11:44.395,25.907,3206,27,0,True,,,,,,,
751,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:11:59.191,2026-06-08 19:12:18.785,19.594,3189,28,0,True,,,,,,,
753,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:12:20.662,2026-06-08 19:12:48.171,27.509,3403,28,0,True,,,,,,,
755,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:12:49.922,2026-06-08 19:13:11.534,21.612,3424,29,0,True,,,,,,,
757,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:13:29.669,2026-06-08 19:14:23.582,53.913,3447,28,0,True,,,,,,,
759,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:15:20.730,2026-06-08 19:15:57.050,36.32,2857,28,0,True,,,,,,,
761,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:15:58.043,2026-06-08 19:16:15.762,17.719,3114,27,0,True,,,,,,,
763,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:16:20.254,2026-06-08 19:16:45.124,24.87,3283,28,0,True,,,,,,,
765,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:16:48.110,2026-06-08 19:17:09.617,21.507,3169,28,0,True,,,,,,,
767,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:17:10.587,2026-06-08 19:17:30.906,20.319,3215,27,0,True,,,,,,,
769,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:17:31.972,2026-06-08 19:17:59.496,27.524,3556,28,0,True,,,,,,,
771,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:18:28.133,2026-06-08 19:18:41.008,12.875,3180,27,0,True,,,,,,,
773,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:18:42.185,2026-06-08 19:19:17.906,35.721,3200,28,0,True,,,,,,,
775,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:19:29.373,2026-06-08 19:19:41.635,12.262,3209,27,0,True,,,,,,,
777,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:19:55.065,2026-06-08 19:20:07.687,12.622,3156,27,0,True,,,,,,,
779,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:20:29.650,2026-06-08 19:20:45.677,16.027,3838,28,0,True,,,,,,,
781,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:21:05.099,2026-06-08 19:21:42.446,37.347,3646,29,0,True,,,,,,,
783,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:21:44.757,2026-06-08 19:22:09.678,24.921,3492,28,0,True,,,,,,,
785,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:22:11.554,2026-06-08 19:22:27.447,15.893,3600,28,0,True,,,,,,,
787,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:22:28.904,2026-06-08 19:22:57.900,28.996,4252,29,0,True,,,,,,,
789,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:23:33.281,2026-06-08 19:24:03.837,30.556,4159,28,0,True,,,,,,,
791,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:24:23.911,2026-06-08 19:24:58.336,34.425,3842,28,0,True,,,,,,,
793,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:25:01.723,2026-06-08 19:25:22.170,20.447,4243,28,0,True,,,,,,,
795,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:25:24.165,2026-06-08 19:25:54.284,30.119,3575,28,0,True,,,,,,,
797,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:25:56.764,2026-06-08 19:26:16.267,19.503,3382,28,0,True,,,,,,,
799,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:26:22.587,2026-06-08 19:26:49.056,26.469,3873,28,0,True,,,,,,,
801,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:26:52.493,2026-06-08 19:27:17.304,24.811,3524,29,0,True,,,,,,,
803,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:27:22.841,2026-06-08 19:27:41.361,18.52,3640,28,0,True,,,,,,,
805,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:27:44.742,2026-06-08 19:28:08.734,23.992,4080,28,0,True,,,,,,,
807,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:28:12.008,2026-06-08 19:28:32.930,20.922,3599,28,0,True,,,,,,,
809,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:28:38.156,2026-06-08 19:28:54.698,16.542,3422,28,0,True,,,,,,,
811,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:28:56.177,2026-06-08 19:29:10.141,13.964,3277,28,0,True,,,,,,,
813,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:29:13.746,2026-06-08 19:29:29.917,16.171,3541,28,0,True,,,,,,,
815,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:29:40.222,2026-06-08 19:29:53.969,13.747,3584,28,0,True,,,,,,,
817,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:30:10.212,2026-06-08 19:30:33.976,23.764,4025,28,0,True,,,,,,,
819,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:30:45.043,2026-06-08 19:31:17.536,32.493,3867,29,0,True,,,,,,,
821,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:31:18.780,2026-06-08 19:31:32.640,13.86,4133,28,0,True,,,,,,,
823,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:31:34.958,2026-06-08 19:31:55.675,20.717,3678,28,0,True,,,,,,,
825,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:32:00.041,2026-06-08 19:32:29.120,29.079,4306,29,0,True,,,,,,,
827,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:32:31.000,2026-06-08 19:32:46.311,15.311,4026,28,0,True,,,,,,,
829,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:32:48.891,2026-06-08 19:37:57.376,308.485,1775,17,2,True,,,,,,,
831,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:38:04.209,2026-06-08 19:38:27.163,22.954,4236,29,0,True,,,,,,,
833,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:38:57.940,2026-06-08 19:39:23.412,25.472,3390,29,0,True,,,,,,,
835,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:39:24.669,2026-06-08 19:39:52.089,27.42,4151,29,0,True,,,,,,,
837,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:39:58.270,2026-06-08 19:40:14.802,16.532,3252,28,0,True,,,,,,,
839,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:40:18.075,2026-06-08 19:40:49.415,31.34,3517,29,0,True,,,,,,,
841,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:40:51.488,2026-06-08 19:41:24.271,32.783,4054,28,0,True,,,,,,,
843,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:41:41.939,2026-06-08 19:41:57.271,15.332,3540,28,0,True,,,,,,,
845,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:42:00.821,2026-06-08 19:42:01.354,0.533,0,1,1,False,,,,,,,
846,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:43:52.382,2026-06-08 19:44:15.254,22.872,3313,28,0,True,,,,,,,
848,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:44:50.927,2026-06-08 19:45:05.826,14.899,3195,27,0,True,,,,,,,
