case_id,root_workflow_id,workflow_name,start_time,end_time,throughput_sec,total_tokens,activity_count,error_count,pii_in_case
665,unresolved,,2026-06-08 18:23:53.481,2026-06-08 18:23:55.256,1.775,0,5,0,True
667,unresolved,,2026-06-08 18:27:00.124,2026-06-08 18:27:09.117,8.993,0,25,0,True
885,unresolved,,2026-06-10 16:24:37.771,2026-06-10 16:27:23.424,165.653,22512,48,0,True
903,unresolved,,2026-06-12 17:25:16.984,2026-06-12 17:25:18.395,1.411,0,4,0,True
905,unresolved,,2026-06-12 17:26:30.149,2026-06-12 17:26:34.529,4.38,0,4,0,True
