case_id,workflow_id,root_workflow_id,activity,previous_activity,execution_index,timestamp,execution_time_sec,token_usage,data_volume_bytes,pii_detected,execution_status,error_type,system_overhead_sec
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 1,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:44:49.748,0.001,0,52,False,success,None,0.008
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 1,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:44:51.640,1.872,532,2128,False,success,None,0.02
675,0rbXKm-GDcdDEovRgajzY,0FfuZSpuFwMn2OZbFGVir,When Executed by Another Workflow,,0,2026-06-08 18:44:51.671,0.001,0,62,False,success,None,0.001
675,0rbXKm-GDcdDEovRgajzY,0FfuZSpuFwMn2OZbFGVir,Download file,When Executed by Another Workflow,0,2026-06-08 18:44:52.834,1.164,0,257024,False,success,None,0.001
675,0rbXKm-GDcdDEovRgajzY,0FfuZSpuFwMn2OZbFGVir,Extract from File,Download file,0,2026-06-08 18:44:52.908,0.074,0,334728,True,success,None,1.163
675,0rbXKm-GDcdDEovRgajzY,0FfuZSpuFwMn2OZbFGVir,HTTP Request,Extract from File,0,2026-06-08 18:44:53.366,0.457,0,107957,True,success,None,0.001
675,0rbXKm-GDcdDEovRgajzY,0FfuZSpuFwMn2OZbFGVir,Extract Text from JSON,HTTP Request,0,2026-06-08 18:44:53.387,0.02,0,468,True,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Google Vision OCR,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:44:53.415,1.772,0,468,True,success,None,0.003
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 1,AI Agent: Data Ingestion Specialist,1,2026-06-08 18:44:53.424,0.001,0,52,False,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 1,AI Agent: Data Ingestion Specialist,1,2026-06-08 18:44:56.811,3.376,933,3732,True,success,None,0.011
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,AI Agent: Data Ingestion Specialist,New Invoice Trigger,0,2026-06-08 18:44:56.814,3.398,0,1926,True,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Parse AI Classification,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:44:56.826,0.011,0,464,True,success,None,0.004
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Extraction Successful?,Parse AI Classification,0,2026-06-08 18:44:56.829,0.002,0,2,False,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 2,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:44:56.837,0.001,0,2497,True,success,None,0.007
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 2,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:44:58.397,1.549,823,3292,False,success,None,0.011
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,SerpAPI,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:02.494,4.092,0,184,False,success,None,0.005
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Calculator,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:02.498,0.002,0,21,False,success,None,0.002
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 2,AI Agent: Business Intelligence Auditor,1,2026-06-08 18:45:02.507,0.001,0,2497,True,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 2,AI Agent: Business Intelligence Auditor,1,2026-06-08 18:45:04.247,1.728,1067,4268,True,success,None,0.012
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,AI Agent: Business Intelligence Auditor,Extraction Successful?,0,2026-06-08 18:45:04.252,1.753,0,2193,True,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Parse BI Analysis,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:04.279,0.026,0,601,True,success,None,0.006
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Convert to XML,Parse BI Analysis,0,2026-06-08 18:45:04.283,0.003,0,866,True,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Format XML Output,Convert to XML,0,2026-06-08 18:45:04.318,0.032,0,1508,True,success,None,0.003
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Needs Approval?,Format XML Output,0,2026-06-08 18:45:04.324,0.004,0,2,False,success,None,0.002
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Confirmation Email,Needs Approval?,0,2026-06-08 18:45:04.883,0.549,0,99,False,success,None,0.01
